user_id,skill_name,id,fdsfsda
tori_goyette,Workforce Development (Tori),,6481
patrick_fung,Web Development (Patrick),,6473
user_1032,Technology,,5443
user_1047,Technology,,1902
user_1148,Technology,,2590
user_1151,Technology,,2413
user_1196,Technology,,315
user_1227,Technology,,6371
user_1286,Technology,,3787
user_1296,Technology,,4789
user_1351,Technology,,2859
user_1376,Technology,,6046
user_1395,Technology,,2139
user_1396,Technology,,3440
user_1424,Technology,,4598
user_1465,Technology,,1529
user_1485,Technology,,2971
user_1491,Technology,,4763
user_1541,Technology,,5984
user_1555,Technology,,530
user_1606,Technology,,1036
user_1721,Technology,,295
user_1725,Technology,,3136
user_1772,Technology,,1271
user_1778,Technology,,818
user_1822,Technology,,567
user_1846,Technology,,1153
user_1896,Technology,,2387
user_1920,Technology,,5018
user_1928,Technology,,3949
user_1953,Technology,,4717
user_2001,Technology,,6078
user_2022,Technology,,1378
user_2132,Technology,,5795
user_2193,Technology,,941
user_2309,Technology,,4473
user_2347,Technology,,2148
user_2377,Technology,,1760
user_2399,Technology,,5238
user_2436,Technology,,257
user_2458,Technology,,3323
user_2461,Technology,,2760
user_2473,Technology,,2323
user_2504,Technology,,5738
user_2534,Technology,,1417
user_2710,Technology,,3233
user_2722,Technology,,5834
user_2739,Technology,,2398
user_2756,Technology,,6032
user_2762,Technology,,1845
user_2786,Technology,,3715
user_2916,Technology,,5107
user_2935,Technology,,3506
user_2945,Technology,,2092
user_3057,Technology,,1425
user_3072,Technology,,2030
user_3133,Technology,,5927
user_3199,Technology,,5810
user_3207,Technology,,915
user_3235,Technology,,2646
user_3299,Technology,,6246
user_3347,Technology,,2464
user_3347,Technology,,5554
user_3349,Technology,,6190
user_3434,Technology,,4441
user_3487,Technology,,1708
user_3490,Technology,,10
user_3524,Technology,,3480
user_3534,Technology,,5386
user_3552,Technology,,4341
user_3560,Technology,,2767
user_3594,Technology,,2310
user_3610,Technology,,5651
user_3627,Technology,,2539
user_3629,Technology,,6197
user_3636,Technology,,5073
user_3679,Technology,,2756
user_3785,Technology,,2961
user_3819,Technology,,5495
user_3937,Technology,,5408
user_3941,Technology,,481
user_3951,Technology,,583
user_4000,Technology,,3276
user_4020,Technology,,1769
user_4132,Technology,,2508
user_4193,Technology,,959
user_4403,Technology,,1739
user_4422,Technology,,3567
user_4449,Technology,,5988
user_4469,Technology,,3669
user_4493,Technology,,3585
user_4525,Technology,,621
user_4581,Technology,,4827
user_4593,Technology,,5537
user_4659,Technology,,4330
user_4672,Technology,,1308
user_4722,Technology,,5884
user_4810,Technology,,2258
user_4813,Technology,,6111
user_4879,Technology,,1499
user_5011,Technology,,2370
user_5031,Technology,,152
user_5058,Technology,,5211
user_5066,Technology,,5009
user_5098,Technology,,1816
user_5141,Technology,,5134
user_5184,Technology,,2669
user_5210,Technology,,3992
user_5222,Technology,,1880
user_5260,Technology,,638
user_5306,Technology,,4549
user_5402,Technology,,6282
user_5429,Technology,,3095
user_5508,Technology,,3042
